dmt_id,std_code,cvt_code,rb,formula,pixclk_khz,h_freq_hz,v_freq_mhz,interlaced,h_pol,v_pol,h_total,h_active,h_fp,h_sync,h_bp,v_total,v_active,v_fp,v_sync,v_bp,h_border,v_border
0x01,None,None,false,NO_CVT,31500,37861,85080,false,true,false,832,640,32,64,96,445,350,32,3,60,0,0
0x02,0x3119,None,false,NO_CVT,31500,37861,85080,false,false,true,832,640,32,64,96,445,400,1,3,41,0,0
0x03,None,None,false,NO_CVT,35500,37927,85039,false,false,true,936,720,36,72,108,446,400,1,3,42,0,0
0x04,0x3140,None,false,NO_CVT,25175,31469,59940,false,false,false,800,640,8,96,40,525,480,2,2,25,8,8
0x05,0x314C,None,false,NO_CVT,31500,37861,72809,false,false,false,832,640,16,40,120,520,480,1,3,20,8,8
0x06,0x314F,None,false,NO_CVT,31500,37500,75000,false,false,false,840,640,16,64,120,500,480,1,3,16,0,0
0x07,0x3159,None,false,NO_CVT,36000,43269,85008,false,false,false,832,640,56,56,80,509,480,1,3,25,0,0
0x08,None,None,false,NO_CVT,36000,35156,56250,false,true,true,1024,800,24,72,128,625,600,1,2,22,0,0
0x09,0x4540,None,false,NO_CVT,40000,37879,60317,false,true,true,1056,800,40,128,88,628,600,1,4,23,0,0
0x0A,0x454C,None,false,NO_CVT,50000,48077,72188,false,true,true,1040,800,56,120,64,666,600,37,6,23,0,0
0x0B,0x454F,None,false,NO_CVT,49500,46875,75000,false,true,true,1056,800,16,80,160,625,600,1,3,21,0,0
0x0C,0x4559,None,false,NO_CVT,56250,53674,85061,false,true,true,1048,800,32,64,152,631,600,1,3,27,0,0
0x0D,None,None,true,CVT_V1,73250,76302,119972,false,true,false,960,800,48,32,80,636,600,3,4,29,0,0
0x0E,None,None,false,NO_CVT,33750,31020,60000,false,true,true,1088,848,16,112,112,517,480,6,8,23,0,0
0x0F,None,None,false,NO_CVT,44900,35522,86957,true,true,true,1264,1024,8,176,56,817,768,0,4,20,0,0
0x10,0x6140,None,false,NO_CVT,65000,48363,60004,false,false,false,1344,1024,24,136,160,806,768,3,6,29,0,0
0x11,0x614A,None,false,NO_CVT,75000,56476,70069,false,false,false,1328,1024,24,136,144,806,768,3,6,29,0,0
0x12,0x614F,None,false,NO_CVT,78750,60023,75029,false,true,true,1312,1024,16,96,176,800,768,1,3,28,0,0
0x13,0x6159,None,false,NO_CVT,94500,68677,84997,false,true,true,1376,1024,48,96,208,808,768,1,3,36,0,0
