Timing Name,DMT ID,Std 2-Byte Code,CVT 3-Byte Code,RB,Method,PCLK (MHz),H-Freq (kHz),V-Freq (Hz),Scan,H-Pol,V-Pol,H-Total (px),H-Addr (px),H-FP (px),H-Sync (px),H-BP (px),V-Total (ln),V-Addr (ln),V-FP (ln),V-Sync (ln),V-BP (ln),H-Left-Border (px),H-Right-Border (px),V-Top-Border (ln),V-Bottom-Border (ln)
640 x 350 @ 85Hz,01h,n/a,n/a,false,*** NOT CVT COMPLIANT ***,31.500,37.861,85.080,NONINTERLACED,POSITIVE,NEGATIVE,832,640,32,64,96,445,350,32,3,60,0,0,0,0
640 x 400 @ 85Hz,02h,"(31, 19)h",n/a,false,*** NOT CVT COMPLIANT ***,31.500,37.861,85.080,NONINTERLACED,NEGATIVE,POSITIVE,832,640,32,64,96,445,400,1,3,41,0,0,0,0
720 x 400 @ 85Hz,03h,n/a,n/a,false,*** NOT CVT COMPLIANT ***,35.500,37.927,85.039,NONINTERLACED,NEGATIVE,POSITIVE,936,720,36,72,108,446,400,1,3,42,0,0,0,0
640 x 480 @ 60Hz,04h,"(31, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,25.175,31.469,59.940,NONINTERLACED,NEGATIVE,NEGATIVE,800,640,8,96,40,525,480,2,2,25,8,8,8,8
640 x 480 @ 72Hz,05h,"(31, 4C)h",n/a,false,*** NOT CVT COMPLIANT ***,31.500,37.861,72.809,NONINTERLACED,NEGATIVE,NEGATIVE,832,640,16,40,120,520,480,1,3,20,8,8,8,8
640 x 480 @ 75Hz,06h,"(31, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,31.500,37.500,75.000,NONINTERLACED,NEGATIVE,NEGATIVE,840,640,16,64,120,500,480,1,3,16,0,0,0,0
640 x 480 @ 85Hz,07h,"(31, 59)h",n/a,false,*** NOT CVT COMPLIANT ***,36.000,43.269,85.008,NONINTERLACED,NEGATIVE,NEGATIVE,832,640,56,56,80,509,480,1,3,25,0,0,0,0
800 x 600 @ 56Hz,08h,n/a,n/a,false,*** NOT CVT COMPLIANT ***,36.000,35.156,56.250,NONINTERLACED,POSITIVE,POSITIVE,1024,800,24,72,128,625,600,1,2,22,0,0,0,0
800 x 600 @ 60Hz,09h,"(45, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,40.000,37.879,60.317,NONINTERLACED,POSITIVE,POSITIVE,1056,800,40,128,88,628,600,1,4,23,0,0,0,0
800 x 600 @ 72Hz,0Ah,"(45, 4C)h",n/a,false,*** NOT CVT COMPLIANT ***,50.000,48.077,72.188,NONINTERLACED,POSITIVE,POSITIVE,1040,800,56,120,64,666,600,37,6,23,0,0,0,0
800 x 600 @ 75Hz,0Bh,"(45, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,49.500,46.875,75.000,NONINTERLACED,POSITIVE,POSITIVE,1056,800,16,80,160,625,600,1,3,21,0,0,0,0
800 x 600 @ 85Hz,0Ch,"(45, 59)h",n/a,false,*** NOT CVT COMPLIANT ***,56.250,53.674,85.061,NONINTERLACED,POSITIVE,POSITIVE,1048,800,32,64,152,631,600,1,3,27,0,0,0,0
800 x 600 @ 120Hz CVT (Reduced Blanking),0Dh,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,73.250,76.302,119.972,NONINTERLACED,POSITIVE,NEGATIVE,960,800,48,32,80,636,600,3,4,29,0,0,0,0
848 x 480 @ 60Hz,0Eh,n/a,n/a,false,*** NOT CVT COMPLIANT ***,33.750,31.020,60.000,NONINTERLACED,POSITIVE,POSITIVE,1088,848,16,112,112,517,480,6,8,23,0,0,0,0
1024 x 768 @ 43Hz (Interlaced),0Fh,n/a,n/a,false,*** NOT CVT COMPLIANT ***,44.900,35.522,86.957,INTERLACED,POSITIVE,POSITIVE,1264,1024,8,176,56,817,768,0,4,20,0,0,0,0
1024 x 768 @ 60Hz,10h,"(61, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,65.000,48.363,60.004,NONINTERLACED,NEGATIVE,NEGATIVE,1344,1024,24,136,160,806,768,3,6,29,0,0,0,0
1024 x 768 @ 70Hz,11h,"(61, 4A)h",n/a,false,*** NOT CVT COMPLIANT ***,75.000,56.476,70.069,NONINTERLACED,NEGATIVE,NEGATIVE,1328,1024,24,136,144,806,768,3,6,29,0,0,0,0
1024 x 768 @ 75Hz,12h,"(61, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,78.750,60.023,75.029,NONINTERLACED,POSITIVE,POSITIVE,1312,1024,16,96,176,800,768,1,3,28,0,0,0,0
1024 x 768 @ 85Hz,13h,"(61, 59)h",n/a,false,*** NOT CVT COMPLIANT ***,94.500,68.677,84.997,NONINTERLACED,POSITIVE,POSITIVE,1376,1024,48,96,208,808,768,1,3,36,0,0,0,0
1024 x 768 @ 120Hz CVT (Reduced Blanking),14h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,115.500,97.551,119.989,NONINTERLACED,POSITIVE,NEGATIVE,1184,1024,48,32,80,813,768,3,4,38,0,0,0,0
1152 x 864 @ 75Hz,15h,"(71, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,108.000,67.500,75.000,NONINTERLACED,POSITIVE,POSITIVE,1600,1152,64,128,256,900,864,1,3,32,0,0,0,0
1280 x 720 @ 60Hz,55h,"81h, C0h",n/a,false,*** NOT CVT COMPLIANT ***,74.250,45.000,60.000,NONINTERLACED,POSITIVE,POSITIVE,1650,1280,110,40,220,750,720,5,5,20,0,0,0,0
1280 x 768 @ 60Hz CVT (Reduced Blanking),16h,n/a,"(7F, 1C, 21)h",true,CVT Reduced Blanking,68.250,47.396,59.995,NONINTERLACED,POSITIVE,NEGATIVE,1440,1280,48,32,80,790,768,3,7,12,0,0,0,0
1280 x 768 @ 60Hz,17h,n/a,"(7F, 1C, 28)h",false,CVT Compliant,79.500,47.776,59.870,NONINTERLACED,NEGATIVE,POSITIVE,1664,1280,64,128,192,798,768,3,7,20,0,0,0,0
1280 x 768 @ 75Hz,18h,n/a,"(7F, 1C, 44)h",false,CVT Compliant,102.250,60.289,74.893,NONINTERLACED,NEGATIVE,POSITIVE,1696,1280,80,128,208,805,768,3,7,27,0,0,0,0
1280 x 768 @ 85Hz,19h,n/a,"(7F, 1C, 62)h",false,CVT Compliant,117.500,68.633,84.837,NONINTERLACED,NEGATIVE,POSITIVE,1712,1280,80,136,216,809,768,3,7,31,0,0,0,0
1280 x 768 @ 120Hz CVT (Reduced Blanking),1Ah,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,140.250,97.396,119.798,NONINTERLACED,POSITIVE,NEGATIVE,1440,1280,48,32,80,813,768,3,7,35,0,0,0,0
1280 x 800 @ 60Hz CVT (Reduced Blanking),1Bh,n/a,"(8F, 18, 21)h",true,CVT Reduced Blanking,71.000,49.306,59.910,NONINTERLACED,POSITIVE,NEGATIVE,1440,1280,48,32,80,823,800,3,6,14,0,0,0,0
1280 x 800 @ 60Hz,1Ch,"(81, 00)h","(8F, 18, 28)h",false,CVT Compliant,83.500,49.702,59.810,NONINTERLACED,NEGATIVE,POSITIVE,1680,1280,72,128,200,831,800,3,6,22,0,0,0,0
1280 x 800 @ 75Hz,1Dh,"(81, 0F)h","(8F, 18, 44)h",false,CVT Compliant,106.500,62.795,74.934,NONINTERLACED,NEGATIVE,POSITIVE,1696,1280,80,128,208,838,800,3,6,29,0,0,0,0
1280 x 800 @ 85Hz,1Eh,"(81, 19)h","(8F, 18, 62)h",false,CVT Compliant,122.500,71.554,84.880,NONINTERLACED,NEGATIVE,POSITIVE,1712,1280,80,136,216,843,800,3,6,34,0,0,0,0
1280 x 800 @ 120Hz CVT (Reduced Blanking),1Fh,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,146.250,101.563,119.909,NONINTERLACED,POSITIVE,NEGATIVE,1440,1280,48,32,80,847,800,3,6,38,0,0,0,0
1280 x 960 @ 60Hz,20h,"(81, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,108.000,60.000,60.000,NONINTERLACED,POSITIVE,POSITIVE,1800,1280,96,112,312,1000,960,1,3,36,0,0,0,0
1280 x 960 @ 85Hz,21h,"(81, 59)h",n/a,false,*** NOT CVT COMPLIANT ***,148.500,85.938,85.002,NONINTERLACED,POSITIVE,POSITIVE,1728,1280,64,160,224,1011,960,1,3,47,0,0,0,0
1280 x 960 @ 120Hz CVT (Reduced Blanking),22h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,175.500,121.875,119.838,NONINTERLACED,POSITIVE,NEGATIVE,1440,1280,48,32,80,1017,960,3,4,50,0,0,0,0
1280 x 1024 @ 60Hz,23h,"(81, 80)h",n/a,false,*** NOT CVT COMPLIANT ***,108.000,63.981,60.020,NONINTERLACED,POSITIVE,POSITIVE,1688,1280,48,112,248,1066,1024,1,3,38,0,0,0,0
